,Unnamed: 0,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th,second_price
42,42,constant percent,1961.0,441.4385517593065,154.86884979056498,77.0,316.0,431.0,553.0,1045.0,1961.0,0.07000300786731076,5.748370482511091e-05,0.06982193064667291,0.06996268656716417,0.07000175223409848,0.0700423429781228,0.07026044821320412,0.19019309009147747,0.5002337730225093,3.813248417531051e-17,1.7456328440033503e-21,0
43,43,constant percent,1925.0,445.6561038961039,152.8080038476586,133.0,319.0,437.0,559.0,986.0,1925.0,0.06999984793899973,5.486988689596909e-05,0.06979990693345743,0.06996103436060927,0.07,0.07003936096318593,0.07018959257765227,0.031798082464050616,0.00370032768207329,2.7169990122631745e-17,2.1758120911715407e-22,0
44,44,constant percent,1926.0,124.95690550363449,43.38081102603155,17.0,89.0,123.0,157.0,267.0,1926.0,0.02000220200232793,5.6517913837158324e-05,0.01969872537659328,0.019963332654308413,0.020002440774200242,0.020040338403798742,0.020192748967416244,-0.05355529492323688,0.6988153533149971,3.765106096706472e-17,-1.6429455486881009e-21,0
45,45,variable percent,1915.0,282.4229765013055,149.67668986359718,43.0,165.0,255.0,371.0,847.0,1915.0,0.04486782039868762,0.017020882193867784,0.0198549064528446,0.02999745331107757,0.04008667388949079,0.06,0.07016658253407371,0.027014089192866183,-1.2630413783092775,1.4564816106676508e-07,1.2444757973122823e-10,0
46,46,variable percent,1967.0,285.5744789018811,153.62648888423408,41.0,168.0,256.0,374.0,857.0,1967.0,0.04503765119458405,0.017093837730102708,0.019847833278200458,0.03,0.049909490561158516,0.05999377701458996,0.07019704433497538,-0.041645171515358265,-1.2775329936605524,1.4693221445300356e-07,-1.812386054872849e-10,0
47,47,variable percent,1889.0,287.7527792482795,149.01442020836953,52.0,175.0,256.0,386.0,922.0,1889.0,0.04544776740303799,0.01679533204388564,0.019867549668874173,0.03002183406113537,0.049923586347427405,0.059994989979959924,0.0701637153357835,-0.03144083803848393,-1.2318702790871765,1.4054943518919792e-07,-1.8218283879343437e-10,0
48,48,variable percent,1949.0,283.64956387891226,151.46575715798656,49.0,167.0,255.0,380.0,873.0,1949.0,0.04520266646755285,0.01696327931350788,0.01984527413387151,0.02999250187453137,0.049923195084485415,0.06000483909992741,0.07015842224377628,-0.027497409939455757,-1.275049447423957,1.4269817124941265e-07,-1.223984857857468e-10,0
49,49,variable percent,1945.0,286.1994858611825,152.17764723049146,52.0,162.0,257.0,378.0,968.0,1945.0,0.04526094744518469,0.017023565904795996,0.019860242736300108,0.030001986886548777,0.049802371541501966,0.060013218770654325,0.07020623080298377,-0.010773469344783132,-1.2561459557057515,1.4631921023829427e-07,-8.764909896965e-11,0
50,50,variable percent,1923.0,286.0577223088924,155.1119239300374,49.0,162.0,255.0,386.0,816.0,1923.0,0.044888860037856936,0.016960940851237026,0.019805982215036374,0.029997272975184074,0.049901077159815344,0.05999400004342682,0.07013069811922219,-0.028770980078693068,-1.2600824607954288,1.4385184097687011e-07,-1.006113290408694e-10,0
51,51,variable percent,1906.0,278.7633788037775,145.93153445168332,44.0,166.25,251.0,370.0,870.0,1906.0,0.045198896645681365,0.016943155501219942,0.0198019801980198,0.03,0.04989573931910353,0.060003301586910335,0.07015777106411547,-0.03888002913594,-1.2576963338661606,1.434441159028379e-07,-1.8490048207394928e-10,0
52,52,variable percent,1929.0,285.1296008294453,151.48137047687553,45.0,169.0,255.0,369.0,931.0,1929.0,0.0447131646580122,0.016999147478736154,0.01983106867425633,0.029996739484838605,0.040132770066385035,0.059986639946559776,0.07017543859649122,0.006656683955288025,-1.2420384282770065,1.466541264350082e-07,7.201018311707811e-11,0
53,53,variable percent,1975.0,280.95088607594937,147.456899127434,35.0,167.0,251.0,370.0,817.0,1975.0,0.04483458082321349,0.016921435590903592,0.01977401129943503,0.02999477551901417,0.040126715945089764,0.05999405999406,0.07016220294228594,0.008537285840695175,-1.242115180316978,1.4398773598480479e-07,6.033244465165661e-11,0
54,54,soft floor,1954.0,96.03940634595699,310.76341258255195,0.0,0.0,0.0,0.0,3739.0,1954.0,0.013076517430537041,0.03849246964283281,0.0,0.0,0.0,0.0,0.30806624371755786,3.7227980008390698,15.537875414720526,4.056155391660519e-05,8.58309529687792e-06,0
55,55,soft floor,1914.0,116.90438871473354,353.0931452355104,0.0,0.0,0.0,0.0,3420.0,1914.0,0.015420627262037204,0.0422281289385464,0.0,0.0,0.0,0.0,0.2984814103683016,3.380485021600021,12.514382572642225,4.916823181446839e-05,1.046851823850123e-05,0
56,56,soft floor,2018.0,114.55649157581765,343.588376930176,0.0,0.0,0.0,0.0,3491.0,2018.0,0.014933656922616506,0.04116700318312089,0.0,0.0,0.0,0.0,0.3414848870194659,3.5951396678057645,14.982739148803592,5.148178109018414e-05,1.1921175300674096e-05,0
